C:\Users\Home\Desktop\IMG\center_2021_09_10_15_21_05_170.jpg,C:\Users\Home\Desktop\IMG\left_2021_09_10_15_21_05_170.jpg,C:\Users\Home\Desktop\IMG\right_2021_09_10_15_21_05_170.jpg,0,0,0,25.008
C:\Users\Home\Desktop\IMG\center_2021_09_10_15_21_05_249.jpg,C:\Users\Home\Desktop\IMG\left_2021_09_10_15_21_05_249.jpg,C:\Users\Home\Desktop\IMG\right_2021_09_10_15_21_05_249.jpg,0,0,0,24.80692
C:\Users\Home\Desktop\IMG\center_2021_09_10_15_21_05_330.jpg,C:\Users\Home\Desktop\IMG\left_2021_09_10_15_21_05_330.jpg,C:\Users\Home\Desktop\IMG\right_2021_09_10_15_21_05_330.jpg,0,0,0,24.60746
C:\Users\Home\Desktop\IMG\center_2021_09_10_15_21_05_407.jpg,C:\Users\Home\Desktop\IMG\left_2021_09_10_15_21_05_407.jpg,C:\Users\Home\Desktop\IMG\right_2021_09_10_15_21_05_407.jpg,0,0,0,24.40961
C:\Users\Home\Desktop\IMG\center_2021_09_10_15_21_05_489.jpg,C:\Users\Home\Desktop\IMG\left_2021_09_10_15_21_05_489.jpg,C:\Users\Home\Desktop\IMG\right_2021_09_10_15_21_05_489.jpg,0,0,0,24.21335
C:\Users\Home\Desktop\IMG\center_2021_09_10_15_21_05_568.jpg,C:\Users\Home\Desktop\IMG\left_2021_09_10_15_21_05_568.jpg,C:\Users\Home\Desktop\IMG\right_2021_09_10_15_21_05_568.jpg,0,0,0,24.01867
C:\Users\Home\Desktop\IMG\center_2021_09_10_15_21_05_649.jpg,C:\Users\Home\Desktop\IMG\left_2021_09_10_15_21_05_649.jpg,C:\Users\Home\Desktop\IMG\right_2021_09_10_15_21_05_649.jpg,0,0,0,23.82555
C:\Users\Home\Desktop\IMG\center_2021_09_10_15_21_05_731.jpg,C:\Users\Home\Desktop\IMG\left_2021_09_10_15_21_05_731.jpg,C:\Users\Home\Desktop\IMG\right_2021_09_10_15_21_05_731.jpg,0,0,0,23.63398
C:\Users\Home\Desktop\IMG\center_2021_09_10_15_21_05_812.jpg,C:\Users\Home\Desktop\IMG\left_2021_09_10_15_21_05_812.jpg,C:\Users\Home\Desktop\IMG\right_2021_09_10_15_21_05_812.jpg,0,0,0,23.44396
C:\Users\Home\Desktop\IMG\center_2021_09_10_15_21_05_892.jpg,C:\Users\Home\Desktop\IMG\left_2021_09_10_15_21_05_892.jpg,C:\Users\Home\Desktop\IMG\right_2021_09_10_15_21_05_892.jpg,0,0,0,23.25549
C:\Users\Home\Desktop\IMG\center_2021_09_10_15_21_05_974.jpg,C:\Users\Home\Desktop\IMG\left_2021_09_10_15_21_05_974.jpg,C:\Users\Home\Desktop\IMG\right_2021_09_10_15_21_05_974.jpg,-0.2,0,0,23.05096
